Date:;2020-07-09 22:38:08
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;40.000
Scale:;0;True;100.000;0.500;-400.500;399.500
Scale:;1;True;20.000;1.700;-81.700;78.300
"Trigger:;1;0.000000;""Parameter values"";""Channel 1"";""Rising above value"""
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;0;0.0
40.000;0;0.0
80.000;0;0.0
120.000;0;0.0
160.000;0;0.0
200.000;0;0.0
240.000;0;0.0
280.000;0;0.0
320.000;0;0.0
360.000;0;0.0
400.000;0;0.0
440.000;0;0.0
480.000;0;0.0
520.000;0;0.0
560.000;0;0.0
600.000;0;0.0
640.000;0;0.0
680.000;0;0.0
720.000;0;0.0
760.000;0;0.0
800.000;0;0.0
840.000;0;0.0
880.000;0;0.0
920.000;0;0.0
960.000;0;0.0
1000.000;0;0.0
1040.000;0;0.0
1080.000;0;0.0
1120.000;0;0.0
1160.000;0;0.0
1200.000;0;0.0
1240.000;0;0.0
1280.000;0;0.0
1320.000;0;0.0
1360.000;0;0.0
1400.000;0;0.0
1440.000;0;0.0
1480.000;0;0.0
1520.000;0;0.0
1560.000;0;0.0
1600.000;0;0.0
1640.000;0;0.0
1680.000;0;0.0
1720.000;0;0.0
1760.000;0;0.0
1800.000;0;0.0
1840.000;0;0.0
1880.000;0;0.0
1920.000;0;0.0
1960.000;0;0.0
2000.000;0;0.0
2040.000;0;0.0
2080.000;0;0.0
2120.000;0;0.0
2160.000;0;0.0
2200.000;0;0.0
2240.000;0;0.0
2280.000;0;0.0
2320.000;0;0.0
2360.000;0;0.0
2400.000;0;0.0
2440.000;0;0.0
2480.000;0;0.0
2520.000;0;0.0
2560.000;0;0.0
2600.000;0;0.0
2640.000;0;0.0
2680.000;0;0.0
2720.000;0;0.0
2760.000;0;0.0
2800.000;0;0.0
2840.000;0;0.0
2880.000;0;0.0
2920.000;0;0.0
2960.000;0;0.0
3000.000;0;0.0
3040.000;0;0.0
3080.000;0;0.0
3120.000;0;0.0
3160.000;0;0.0
3200.000;0;0.0
3240.000;0;0.0
3280.000;0;0.0
3320.000;0;0.0
3360.000;0;0.0
3400.000;0;0.0
3440.000;0;0.0
3480.000;0;0.0
3520.000;0;0.0
3560.000;0;0.0
3600.000;0;0.0
3640.000;0;0.0
3680.000;0;0.0
3720.000;0;0.0
3760.000;0;0.0
3800.000;0;0.0
3840.000;0;0.0
3880.000;0;0.1
3920.000;0;0.0
3960.000;0;0.0
4000.000;0;0.0
4040.000;0;0.0
4080.000;0;0.0
4120.000;0;0.0
4160.000;0;0.0
4200.000;0;-0.1
4240.000;0;0.0
4280.000;0;0.0
4320.000;0;0.0
4360.000;0;0.0
4400.000;0;0.0
4440.000;0;0.0
4480.000;0;0.0
4520.000;0;0.0
4560.000;0;0.0
4600.000;0;0.0
4640.000;0;0.0
4680.000;0;0.0
4720.000;0;0.0
4760.000;0;0.0
4800.000;0;-50.1
4840.000;-115;-54.7
4880.000;-178;-45.5
4920.000;-193;-49.1
4960.000;-198;-49.2
5000.000;-199;-56.0
5040.000;-201;-50.3
5080.000;-201;-48.7
5120.000;-203;-38.8
5160.000;-199;-44.1
5200.000;-198;-48.1
5240.000;-196;-57.1
5280.000;-200;-51.8
5320.000;-200;-54.5
5360.000;-205;-45.8
5400.000;-205;-39.5
5440.000;-202;-36.5
5480.000;-199;-41.4
5520.000;-195;-56.5
5560.000;-196;-58.5
5600.000;-202;-51.9
5640.000;-201;-53.8
5680.000;-204;-48.1
5720.000;-202;-41.5
5760.000;-202;-40.8
5800.000;-195;-47.9
5840.000;-196;-55.3
5880.000;-200;-55.2
5920.000;-201;-46.2
5960.000;-201;-54.6
6000.000;-205;-42.5
6040.000;-202;-40.8
6080.000;-198;-47.4
6120.000;-195;-54.8
6160.000;-199;-53.7
6200.000;-201;-54.0
6240.000;-202;-50.8
6280.000;-202;-47.1
6320.000;-202;-43.8
6360.000;-200;-44.6
6400.000;-195;-58.3
6440.000;-196;-58.3
6480.000;-199;-57.5
6520.000;-203;-51.4
6560.000;-202;-49.9
6600.000;-204;-42.2
6640.000;-202;-40.0
6680.000;-197;-48.9
6720.000;-201;-43.8
6760.000;-197;-60.0
6800.000;-199;-62.7
6840.000;-203;-52.4
6880.000;-203;-43.0
6920.000;-202;-44.4
6960.000;-201;-42.5
7000.000;-197;-48.9
7040.000;-195;-60.3
7080.000;-198;-61.7
7120.000;-202;-55.9
7160.000;-201;-50.2
7200.000;-202;-43.8
7240.000;-203;-40.7
7280.000;-200;-44.1
7320.000;-197;-54.2
7360.000;-197;-55.1
7400.000;-200;-51.2
7440.000;-202;-51.1
7480.000;-203;-45.8
7520.000;-201;-43.4
7560.000;-202;-39.2
7600.000;-199;-45.7
7640.000;-196;-54.6
7680.000;-196;-63.8
7720.000;-202;-51.1
7760.000;-202;-50.3
7800.000;-204;-41.9
7840.000;-202;-42.1
7880.000;-198;-44.9
7920.000;-201;-43.3
7960.000;-193;-66.4
8000.000;-199;-61.0
8040.000;-203;-47.4
8080.000;-202;-50.8
8120.000;-203;-45.5
8160.000;-201;-43.5
8200.000;-200;-46.6
8240.000;-196;-59.8
8280.000;-198;-60.8
8320.000;-202;-50.5
8360.000;-201;-52.3
8400.000;-203;-40.7
8440.000;-201;-43.7
8480.000;-199;-49.7
8520.000;-199;-50.3
8560.000;-197;-58.4
8600.000;-200;-59.1
8640.000;-202;-48.0
8680.000;-201;-53.4
8720.000;-202;-44.6
8760.000;-200;-45.3
8800.000;-199;-47.6
8840.000;-198;-52.4
8880.000;-197;-62.1
8920.000;-203;-49.7
8960.000;-198;-56.8
9000.000;-204;-44.3
9040.000;-202;-41.6
9080.000;-198;-51.6
9120.000;-198;-49.1
9160.000;-198;-52.3
9200.000;-200;-54.4
9240.000;-201;-52.8
9280.000;-202;-49.0
9320.000;-201;-46.0
9360.000;-200;-46.6
9400.000;-198;-50.3
9440.000;-197;-56.7
9480.000;-198;-46.4
9520.000;-147;-13.9
9560.000;-42;-38.2
9600.000;-12;-32.2
9640.000;-3;-37.3
9680.000;-1;-36.3
9720.000;-1;-36.1
9760.000;0;0.0
9800.000;0;0.0
9840.000;0;0.0
9880.000;0;0.0
9920.000;0;0.0
9960.000;0;0.0
10000.000;0;0.0
10040.000;0;0.0
10080.000;0;0.0
10120.000;0;0.0
10160.000;0;0.0
10200.000;0;0.0
10240.000;0;0.0
10280.000;0;0.0
10320.000;0;0.0
10360.000;0;0.0
10400.000;0;0.0
10440.000;0;50.2
10480.000;120;49.5
10520.000;174;68.8
10560.000;193;69.0
10600.000;202;50.5
10640.000;200;56.2
10680.000;201;51.2
10720.000;202;44.6
10760.000;201;45.0
10800.000;197;59.9
10840.000;197;65.2
10880.000;201;58.6
10920.000;202;53.1
10960.000;199;60.4
11000.000;201;53.9
11040.000;203;43.1
11080.000;200;45.1
11120.000;197;61.7
11160.000;202;47.6
11200.000;201;51.6
11240.000;200;56.4
11280.000;201;54.1
11320.000;200;53.5
11360.000;201;45.5
11400.000;199;51.2
11440.000;197;59.7
11480.000;201;47.6
11520.000;199;56.1
11560.000;200;51.5
11600.000;202;48.4
11640.000;201;44.2
11680.000;200;43.1
11720.000;197;60.1
11760.000;202;48.3
11800.000;200;53.9
11840.000;200;56.8
11880.000;200;56.8
11920.000;202;48.0
11960.000;200;48.9
12000.000;200;49.1
12040.000;198;58.6
12080.000;201;50.7
12120.000;199;55.8
12160.000;200;55.1
12200.000;198;64.2
12240.000;204;41.1
12280.000;201;41.4
12320.000;197;60.4
12360.000;200;52.2
12400.000;201;50.7
12440.000;200;54.6
12480.000;198;65.0
12520.000;202;51.3
12560.000;203;40.4
12600.000;200;43.4
12640.000;197;57.6
12680.000;200;52.1
12720.000;200;52.3
12760.000;200;55.5
12800.000;201;49.2
12840.000;202;41.8
12880.000;200;48.3
12920.000;198;57.7
12960.000;200;48.6
13000.000;200;53.4
13040.000;199;58.9
13080.000;199;61.1
13120.000;201;50.0
13160.000;201;44.9
13200.000;200;47.6
13240.000;198;57.6
13280.000;200;55.5
13320.000;201;56.2
13360.000;201;50.0
13400.000;201;53.0
13440.000;202;45.5
13480.000;202;41.4
13520.000;199;48.3
13560.000;200;47.5
13600.000;195;71.0
13640.000;202;50.8
13680.000;198;64.0
13720.000;201;52.6
13760.000;202;45.0
13800.000;200;45.0
13840.000;198;56.2
13880.000;199;54.5
13920.000;198;65.2
13960.000;202;50.0
14000.000;201;52.8
14040.000;203;41.8
14080.000;201;43.1
14120.000;198;51.8
14160.000;197;63.4
14200.000;199;63.1
14240.000;202;55.1
14280.000;199;61.0
14320.000;202;50.1
14360.000;202;41.5
14400.000;200;45.6
14440.000;198;54.5
14480.000;199;60.7
14520.000;201;53.8
14560.000;201;51.0
14600.000;201;52.1
14640.000;202;43.2
14680.000;201;45.4
14720.000;197;59.0
14760.000;200;50.7
14800.000;199;58.7
14840.000;200;54.8
14880.000;199;56.9
14920.000;202;43.8
14960.000;200;49.0
15000.000;200;43.2
15040.000;197;58.3
15080.000;200;51.5
15120.000;126;40.4
15160.000;36;44.8
15200.000;2;40.4
15240.000;1;37.2
15280.000;0;0
15320.000;0;0
15360.000;0;0
15400.000;0;0
15440.000;0;0
15480.000;0;0
15520.000;0;0
15560.000;0;0
15600.000;0;0
15640.000;0;0
15680.000;0;0
15720.000;0;0
15760.000;0;0
15800.000;0;0
15840.000;0;0
15880.000;0;0
15920.000;0;0
15960.000;0;0
16000.000;0;0
16040.000;0;0
16080.000;0;0
16120.000;0;0
16160.000;0;0
16200.000;0;0
16240.000;0;0
16280.000;0;0
16320.000;0;0
16360.000;0;0
16400.000;0;0
16440.000;0;0
16480.000;0;0.0
16520.000;0;0.0
16560.000;0;0.0
16600.000;0;0.0
16640.000;0;0.0
16680.000;0;0.0
16720.000;0;0.0
16760.000;0;0.0
16800.000;0;0.0
16840.000;0;0.0
16880.000;0;0.0
16920.000;0;0.0
16960.000;0;0.0
17000.000;0;0.0
17040.000;0;0.0
17080.000;0;0.0
17120.000;0;0.0
17160.000;0;0.0
17200.000;0;0.0
17240.000;0;0.0
17280.000;0;0.0
17320.000;0;0.0
17360.000;0;0.0
17400.000;0;0.0
17440.000;0;0.0
17480.000;0;0.0
17520.000;0;0.0
17560.000;0;0.0
17600.000;0;0.0
17640.000;0;0.0
17680.000;0;0.0
17720.000;0;0.0
17760.000;0;0.0
17800.000;0;0.0
17840.000;0;0.0
17880.000;0;0.0
17920.000;0;0.0
17960.000;0;0.0
18000.000;0;0.0
18040.000;0;0.0
18080.000;0;0.0
18120.000;0;0.0
18160.000;0;0.0
18200.000;0;0.0
18240.000;0;0.0
18280.000;0;0.0
18320.000;0;0.0
18360.000;0;0.0
18400.000;0;0.0
18440.000;0;0.0
18480.000;0;0.0
18520.000;0;0.0
18560.000;0;0.0
18600.000;0;0.0
18640.000;0;0.0
18680.000;0;0.0
18720.000;0;0.0
18760.000;0;0.0
18800.000;0;0.0
18840.000;0;0.0
18880.000;0;0.0
18920.000;0;0.0
18960.000;0;0.0
19000.000;0;0.0
19040.000;0;0.0
19080.000;0;0.0
19120.000;0;0.0
19160.000;0;0.0
19200.000;0;0.0
19240.000;0;0.0
19280.000;0;0.0
19320.000;0;0.0
19360.000;0;0.0
19400.000;0;0.0
19440.000;0;0.0
19480.000;0;0.0
19520.000;0;0.0
19560.000;0;0.0
19600.000;0;0.0
19640.000;0;0.0
19680.000;0;0.0
19720.000;0;0.0
19760.000;0;0.0
19800.000;0;0.0
19840.000;0;0.0
19880.000;0;0.0
19920.000;0;0.0
19960.000;0;0.0
